Id,Longitude,Latitude,Accuracy,TimeStamp,Date,DateTime,IsGPSOn,BatLevel,Provider,Bearing,DeviceTime,RepId
148,80.10079,6.13836,5,1745961709000,30/04/2025 12:00:00 AM,29/04/2025 9:21:49 PM,True,55,gps,0,30/04/2025 2:51:47 AM,373
149,80.1007,6.13841,27.608,1745961966147,30/04/2025 12:00:00 AM,29/04/2025 9:26:06 PM,True,55,network,0,30/04/2025 2:56:06 AM,373
150,80.10066,6.13851,20.305,1745961986120,30/04/2025 12:00:00 AM,29/04/2025 9:26:26 PM,True,55,network,0,30/04/2025 2:56:26 AM,373
151,80.10067,6.13852,21.117,1745962006410,30/04/2025 12:00:00 AM,29/04/2025 9:26:46 PM,True,55,network,0,30/04/2025 2:56:46 AM,373
152,80.1007,6.13841,6,1745962010000,30/04/2025 12:00:00 AM,29/04/2025 9:26:50 PM,True,55,gps,290.9,30/04/2025 2:56:48 AM,373
153,80.10079,6.13842,6.5,1745962023000,30/04/2025 12:00:00 AM,29/04/2025 9:27:03 PM,True,55,gps,87.2,30/04/2025 2:57:02 AM,373
154,80.10042,6.13812,17,1745962067046,30/04/2025 12:00:00 AM,29/04/2025 9:27:47 PM,True,55,gps,0,30/04/2025 2:57:45 AM,373
155,80.10054,6.13816,7,1745962083000,30/04/2025 12:00:00 AM,29/04/2025 9:28:03 PM,True,55,gps,169.9,30/04/2025 2:58:01 AM,373
156,80.10062,6.1382,5.5,1745962101000,30/04/2025 12:00:00 AM,29/04/2025 9:28:21 PM,True,55,gps,25.8,30/04/2025 2:58:19 AM,373
157,80.10073,6.13819,4.5,1745962129000,30/04/2025 12:00:00 AM,29/04/2025 9:28:49 PM,True,55,gps,75,30/04/2025 2:58:47 AM,373
158,80.10077,6.13829,4.5,1745962156000,30/04/2025 12:00:00 AM,29/04/2025 9:29:16 PM,True,55,gps,322.1,30/04/2025 2:59:14 AM,373
159,80.10071,6.13822,5,1745962160000,30/04/2025 12:00:00 AM,29/04/2025 9:29:20 PM,True,55,gps,213.6,30/04/2025 2:59:18 AM,373
160,80.10063,6.13829,7.5,1745962186000,30/04/2025 12:00:00 AM,29/04/2025 9:29:46 PM,True,55,gps,242.3,30/04/2025 2:59:44 AM,373
161,80.10049,6.13827,7.5,1745962189000,30/04/2025 12:00:00 AM,29/04/2025 9:29:49 PM,True,55,gps,244.4,30/04/2025 2:59:47 AM,373
162,80.10046,6.1384,7.5,1745962199000,30/04/2025 12:00:00 AM,29/04/2025 9:29:59 PM,True,55,gps,331.2,30/04/2025 2:59:57 AM,373
163,80.10047,6.13852,6.5,1745962204000,30/04/2025 12:00:00 AM,29/04/2025 9:30:04 PM,True,55,gps,325.9,30/04/2025 3:00:02 AM,373
164,80.10052,6.13844,7,1745962209000,30/04/2025 12:00:00 AM,29/04/2025 9:30:09 PM,True,55,gps,121.1,30/04/2025 3:00:07 AM,373
165,80.10049,6.13854,7,1745962228000,30/04/2025 12:00:00 AM,29/04/2025 9:30:28 PM,True,55,gps,352,30/04/2025 3:00:26 AM,373
166,80.10046,6.13842,11.5,1745962248000,30/04/2025 12:00:00 AM,29/04/2025 9:30:48 PM,True,55,gps,273.1,30/04/2025 3:00:46 AM,373
167,80.10041,6.13853,8.5,1745962260000,30/04/2025 12:00:00 AM,29/04/2025 9:31:00 PM,True,55,gps,313.4,30/04/2025 3:00:58 AM,373
168,80.10049,6.13846,7.5,1745962267000,30/04/2025 12:00:00 AM,29/04/2025 9:31:07 PM,True,55,gps,252.8,30/04/2025 3:01:05 AM,373
